folio,id_persona,expp,expc,provincia,comuna
101370401,4,234,210,136,13605
101370501,1,233,210,136,13605
101370501,2,233,210,136,13605
101370501,3,233,210,136,13605
101370701,1,233,210,136,13605
101370701,2,233,210,136,13605
101370801,1,233,210,136,13605
101370801,2,233,210,136,13605
101370801,3,233,210,136,13605
101370801,4,233,210,136,13605
101370801,5,233,210,136,13605
101410101,1,178,208,131,13108
101410101,2,178,208,131,13108
101410301,1,178,208,131,13108
101410301,2,178,208,131,13108
101410301,3,178,208,131,13108
101410401,1,178,207,131,13108
101410401,2,178,207,131,13108
101410401,3,178,207,131,13108
101410401,4,178,207,131,13108
101410401,5,178,207,131,13108
101410601,1,177,208,131,13108
101410601,2,177,208,131,13108
101410701,1,178,208,131,13108
101410701,2,178,208,131,13108
101410801,1,178,208,131,13108
101410801,2,178,208,131,13108
101410801,3,178,208,131,13108
101420101,1,230,216,131,13104
101420101,2,230,216,131,13104
101420101,3,230,216,131,13104
101420201,1,230,216,131,13104
101420201,2,230,216,131,13104
101420301,1,230,217,131,13104
101420301,2,230,217,131,13104
101420401,1,231,217,131,13104
101420401,2,231,217,131,13104
101420401,3,231,217,131,13104
101420402,1,230,217,131,13104
101420402,2,230,217,131,13104
101420501,1,231,217,131,13104
101420501,2,231,217,131,13104
101420601,1,231,216,131,13104
101420601,2,231,216,131,13104
101420601,3,231,216,131,13104
101420601,4,231,216,131,13104
101420701,1,230,216,131,13104
101420701,2,230,216,131,13104
101420701,3,230,216,131,13104
101420701,4,230,216,131,13104
101500101,1,72,77,73,7301
101500101,2,72,77,73,7301
101500101,3,72,77,73,7301
101500101,4,72,77,73,7301
101500201,1,72,78,73,7301
101500201,2,72,78,73,7301
101500301,1,72,77,73,7301
101500301,2,72,77,73,7301
101500301,3,72,77,73,7301
101500301,4,72,77,73,7301
101500401,1,72,78,73,7301
101500401,2,72,78,73,7301
101500401,3,72,78,73,7301
101500401,4,72,78,73,7301
101500401,5,72,78,73,7301
101500501,1,72,77,73,7301
101500501,2,72,77,73,7301
101500601,1,72,77,73,7301
101500601,2,72,77,73,7301
101500601,3,72,77,73,7301
101500601,4,72,77,73,7301
101500701,1,72,77,73,7301
101500701,2,72,77,73,7301
101500801,1,72,78,73,7301
101500801,2,72,78,73,7301
101520201,1,62,65,163,16302
101520201,2,62,65,163,16302
101520201,3,62,65,163,16302
